               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.033799,            0.020985,           0.0018311,             0.84019,             0.90013,             0.91032,             0.58432,             0.03637,           0.0096512,           0.0018968,           0.0051665,           0.0051665,           0.0051665
                  85,            0.034999,            0.018874,           0.0021772,             0.91578,             0.77222,             0.90191,             0.54604,            0.044062,           0.0093609,           0.0018146,           0.0051082,           0.0051082,           0.0051082
                  86,            0.038003,            0.020461,           0.0020889,             0.92676,             0.81508,             0.91497,             0.57693,            0.038021,           0.0095977,           0.0017771,             0.00505,             0.00505,             0.00505
                  87,            0.032957,            0.019754,           0.0022015,              0.8512,             0.92469,             0.94697,             0.56505,            0.039489,           0.0098076,           0.0016933,           0.0049918,           0.0049918,           0.0049918
                  88,            0.029931,            0.017847,           0.0018456,             0.89454,             0.88008,             0.93935,             0.52465,            0.037455,           0.0097342,            0.001617,           0.0049335,           0.0049335,           0.0049335
                  89,            0.033744,            0.018184,           0.0025459,              0.9183,             0.93757,             0.96035,             0.60654,            0.039533,           0.0095241,           0.0017474,           0.0048753,           0.0048753,           0.0048753
                  90,            0.030912,            0.019079,           0.0020154,             0.88188,             0.90926,              0.9337,             0.43151,            0.040914,           0.0096784,           0.0019383,           0.0048171,           0.0048171,           0.0048171
                  91,            0.035599,            0.017785,           0.0015666,             0.89891,             0.87935,             0.92457,             0.57101,            0.040709,           0.0099562,           0.0018997,           0.0047588,           0.0047588,           0.0047588
                  92,             0.03085,            0.016636,           0.0016259,             0.83413,             0.89083,             0.91951,             0.52067,            0.041351,            0.010206,           0.0018086,           0.0047006,           0.0047006,           0.0047006
                  93,            0.029386,             0.01792,           0.0020121,             0.85726,              0.8514,             0.90249,             0.54345,            0.044367,            0.010162,           0.0017342,           0.0046424,           0.0046424,           0.0046424
                  94,             0.03255,            0.019007,           0.0018953,             0.95342,             0.89103,             0.93766,             0.53757,            0.042846,            0.010047,           0.0018043,           0.0045841,           0.0045841,           0.0045841
                  95,            0.029937,            0.018394,           0.0023917,             0.91026,             0.82638,             0.90188,             0.55682,            0.039949,            0.009799,           0.0017176,           0.0045259,           0.0045259,           0.0045259
                  96,            0.029504,            0.018034,           0.0024654,             0.89027,             0.88602,             0.91079,             0.55478,            0.040202,            0.009514,            0.001697,           0.0044676,           0.0044676,           0.0044676
                  97,            0.028339,            0.013643,           0.0019006,             0.76872,             0.92415,             0.90758,               0.532,            0.040455,            0.009308,            0.001532,           0.0044094,           0.0044094,           0.0044094
                  98,            0.033601,            0.017405,           0.0026902,             0.87564,             0.93697,             0.94241,              0.5874,            0.038177,            0.009344,           0.0015379,           0.0043512,           0.0043512,           0.0043512
                  99,             0.03128,            0.016839,           0.0019158,             0.88141,             0.90737,             0.93029,             0.56327,            0.038315,           0.0093351,           0.0015655,           0.0042929,           0.0042929,           0.0042929
                 100,            0.036762,            0.020255,            0.001787,               0.869,             0.97909,             0.94831,             0.59483,            0.039297,           0.0095655,           0.0015917,           0.0042347,           0.0042347,           0.0042347
                 101,            0.030001,             0.01819,           0.0023982,             0.89113,             0.95432,             0.93426,             0.56629,            0.038312,           0.0093589,            0.001641,           0.0041765,           0.0041765,           0.0041765
                 102,            0.026842,             0.01688,           0.0025193,             0.89989,               0.964,             0.94833,             0.59029,            0.037395,           0.0093459,           0.0016627,           0.0041182,           0.0041182,           0.0041182
                 103,            0.029641,            0.014672,           0.0017964,             0.90659,             0.97222,             0.93491,             0.55495,            0.037896,           0.0092154,           0.0017324,             0.00406,             0.00406,             0.00406
                 104,            0.028239,            0.015026,           0.0030695,             0.93907,             0.98019,             0.95538,             0.62579,            0.036524,           0.0090238,           0.0022523,           0.0040018,           0.0040018,           0.0040018
                 105,            0.030366,             0.01672,           0.0016044,             0.91597,             0.95337,             0.94646,             0.57475,            0.036379,           0.0090659,           0.0031108,           0.0039435,           0.0039435,           0.0039435
                 106,            0.033686,            0.017887,           0.0023877,             0.94632,             0.93889,             0.95624,             0.62609,            0.034934,           0.0092792,           0.0035285,           0.0038853,           0.0038853,           0.0038853
                 107,            0.026248,             0.01602,           0.0014221,             0.93586,             0.94074,             0.93842,             0.59401,            0.037874,           0.0093038,           0.0038592,           0.0038271,           0.0038271,           0.0038271
                 108,            0.032479,            0.019528,            0.003071,             0.93619,             0.92536,             0.93948,             0.63048,            0.034005,           0.0094618,           0.0042951,           0.0037688,           0.0037688,           0.0037688
                 109,            0.028643,            0.016408,           0.0021525,             0.92013,             0.91852,              0.9438,             0.57257,            0.036098,            0.009423,           0.0044258,           0.0037106,           0.0037106,           0.0037106
                 110,            0.028745,            0.017208,            0.001874,             0.90085,             0.92151,             0.93868,             0.60523,            0.033618,            0.009584,           0.0045423,           0.0036524,           0.0036524,           0.0036524
                 111,            0.025977,             0.01462,            0.002503,              0.9279,             0.94004,             0.93505,             0.57364,            0.036608,           0.0096607,           0.0045659,           0.0035941,           0.0035941,           0.0035941
                 112,            0.026307,            0.017722,           0.0011502,             0.93245,             0.93709,             0.94791,             0.59592,            0.035033,           0.0098223,           0.0046918,           0.0035359,           0.0035359,           0.0035359
                 113,            0.025532,            0.014374,            0.001499,              0.9451,             0.93433,             0.96527,             0.58642,               0.038,           0.0097306,           0.0046215,           0.0034776,           0.0034776,           0.0034776
                 114,            0.029344,            0.015405,           0.0032472,             0.95632,             0.92421,             0.96456,             0.62419,             0.03533,           0.0098255,           0.0046579,           0.0034194,           0.0034194,           0.0034194
                 115,            0.027232,            0.015816,           0.0018652,             0.92274,              0.9236,             0.95749,              0.6035,            0.039265,           0.0096731,           0.0042783,           0.0033612,           0.0033612,           0.0033612
                 116,            0.027238,            0.016742,           0.0012147,             0.95076,             0.91732,             0.96849,             0.64538,            0.036029,           0.0096637,           0.0037854,           0.0033029,           0.0033029,           0.0033029
                 117,            0.026557,            0.017509,           0.0017524,              0.9161,             0.92942,             0.95322,             0.63568,            0.037667,           0.0094788,           0.0033351,           0.0032447,           0.0032447,           0.0032447
                 118,            0.024838,            0.016742,           0.0012777,             0.92714,              0.9249,             0.96274,             0.65367,            0.037174,            0.009466,           0.0034013,           0.0031865,           0.0031865,           0.0031865
                 119,            0.029548,            0.014766,           0.0017954,             0.92085,             0.93332,             0.94937,             0.62648,            0.037733,           0.0094298,           0.0027898,           0.0031282,           0.0031282,           0.0031282
                 120,            0.028437,            0.017737,           0.0036869,             0.93559,             0.93195,             0.94708,             0.64197,            0.037496,           0.0093891,           0.0023465,             0.00307,             0.00307,             0.00307
                 121,            0.028203,            0.015155,           0.0014904,             0.93953,             0.93148,             0.94882,             0.63812,            0.038985,           0.0091554,           0.0024182,           0.0030118,           0.0030118,           0.0030118
                 122,            0.026785,            0.015375,           0.0018342,             0.93897,             0.93836,             0.95274,             0.64244,            0.036859,           0.0090514,           0.0021965,           0.0029535,           0.0029535,           0.0029535
                 123,            0.024941,             0.01638,           0.0020209,             0.93797,             0.90847,             0.94787,             0.62613,            0.038411,           0.0089789,           0.0021203,           0.0028953,           0.0028953,           0.0028953
                 124,            0.024699,            0.015143,            0.001435,             0.91803,             0.95926,             0.96569,             0.63399,            0.037055,           0.0089901,           0.0021225,           0.0028371,           0.0028371,           0.0028371
                 125,            0.026155,            0.014427,           0.0038085,             0.92652,             0.93247,             0.94846,             0.64126,            0.037205,           0.0089579,            0.002065,           0.0027788,           0.0027788,           0.0027788
                 126,            0.022856,            0.013988,           0.0013612,               0.931,             0.93489,             0.95979,             0.59839,            0.036726,           0.0089837,           0.0021115,           0.0027206,           0.0027206,           0.0027206
                 127,            0.025651,            0.015147,           0.0025291,              0.9384,             0.93697,              0.9529,             0.62471,            0.036623,           0.0090492,           0.0021654,           0.0026624,           0.0026624,           0.0026624
                 128,            0.026031,            0.015903,           0.0014126,             0.93043,              0.9417,             0.96878,             0.60392,            0.035553,           0.0091984,           0.0021222,           0.0026041,           0.0026041,           0.0026041
                 129,            0.026363,             0.01542,           0.0012345,             0.92686,             0.92637,             0.95405,             0.61689,            0.034784,           0.0093803,            0.002251,           0.0025459,           0.0025459,           0.0025459
                 130,            0.025165,             0.01696,           0.0010758,             0.89857,             0.95813,             0.96392,             0.60523,            0.034264,           0.0093912,           0.0021305,           0.0024876,           0.0024876,           0.0024876
                 131,            0.024852,            0.017608,           0.0015761,             0.92191,             0.93208,              0.9527,             0.60966,            0.035097,           0.0094417,           0.0020859,           0.0024294,           0.0024294,           0.0024294
                 132,            0.022923,            0.015593,           0.0016883,             0.92461,             0.94449,              0.9574,             0.59846,            0.034478,           0.0093064,           0.0019292,           0.0023712,           0.0023712,           0.0023712
                 133,            0.021917,            0.015084,           0.0013436,             0.92163,             0.94859,             0.95786,             0.62051,            0.035943,           0.0091817,           0.0018796,           0.0023129,           0.0023129,           0.0023129
                 134,              0.0246,            0.016093,           0.0013914,             0.89712,             0.95926,             0.95986,             0.62231,             0.03499,           0.0092865,           0.0018274,           0.0022547,           0.0022547,           0.0022547
                 135,            0.022339,            0.019177,           0.0011057,             0.90172,                0.95,             0.95998,             0.62628,            0.034907,           0.0092988,           0.0017733,           0.0021965,           0.0021965,           0.0021965
                 136,            0.022768,            0.014397,           0.0027265,             0.89411,             0.95926,             0.95902,             0.62967,            0.034103,           0.0094541,           0.0016971,           0.0021382,           0.0021382,           0.0021382
                 137,            0.025199,            0.015558,            0.001151,             0.89354,             0.93464,             0.95672,              0.6306,            0.034732,           0.0094547,           0.0016537,             0.00208,             0.00208,             0.00208
                 138,            0.025246,            0.016157,           0.0013235,             0.90533,              0.9442,             0.95831,             0.61593,            0.033931,           0.0095162,           0.0016052,           0.0020218,           0.0020218,           0.0020218
                 139,            0.023676,            0.015978,           0.0015623,             0.91859,              0.9339,             0.95384,             0.63259,            0.034384,           0.0093909,           0.0015442,           0.0019635,           0.0019635,           0.0019635
                 140,            0.022718,            0.016788,           0.0017106,             0.92504,             0.94397,             0.95718,             0.63293,            0.033811,           0.0092956,             0.00147,           0.0019053,           0.0019053,           0.0019053
                 141,             0.02499,            0.015856,           0.0031081,             0.91564,             0.93337,             0.95692,             0.63465,            0.034422,           0.0092504,           0.0014492,           0.0018471,           0.0018471,           0.0018471
                 142,            0.022081,            0.015076,           0.0011813,             0.93138,             0.92837,             0.96038,              0.6378,            0.033386,           0.0094057,           0.0014066,           0.0017888,           0.0017888,           0.0017888
                 143,            0.025403,            0.015895,           0.0023546,             0.92923,             0.94697,              0.9599,             0.63408,            0.033952,           0.0094263,           0.0013881,           0.0017306,           0.0017306,           0.0017306
                 144,             0.02713,            0.015427,           0.0012453,             0.92803,                0.95,             0.96591,             0.64422,            0.032946,           0.0094926,           0.0013594,           0.0016724,           0.0016724,           0.0016724
                 145,            0.020032,            0.015937,           0.0019532,             0.94962,             0.94335,             0.96397,             0.65738,            0.033541,           0.0093091,           0.0013086,           0.0016141,           0.0016141,           0.0016141
                 146,             0.02084,            0.014268,          0.00095553,             0.95384,             0.92859,             0.96321,             0.63591,            0.033568,           0.0092887,           0.0013123,           0.0015559,           0.0015559,           0.0015559
                 147,            0.021971,            0.014447,          0.00084625,             0.94184,             0.94695,             0.96637,             0.63785,            0.033584,           0.0092613,           0.0013067,           0.0014976,           0.0014976,           0.0014976
                 148,            0.025386,            0.014781,           0.0009883,             0.95922,             0.93087,             0.95978,             0.63944,            0.033953,           0.0093045,           0.0012988,           0.0014394,           0.0014394,           0.0014394
                 149,            0.024257,            0.015729,           0.0010694,             0.94463,             0.94614,             0.96065,             0.63651,            0.033798,           0.0093678,           0.0013514,           0.0013812,           0.0013812,           0.0013812
                 150,            0.021904,            0.017968,           0.0012853,             0.96779,             0.93497,             0.96325,             0.63066,            0.033749,           0.0094232,           0.0014427,           0.0013229,           0.0013229,           0.0013229
                 151,            0.021721,            0.015913,           0.0011793,             0.93784,             0.94551,             0.95455,              0.6284,            0.033729,           0.0095152,           0.0015547,           0.0012647,           0.0012647,           0.0012647
                 152,            0.020945,            0.013424,          0.00094844,             0.91687,             0.95486,             0.95588,             0.63171,            0.035199,           0.0095646,           0.0016593,           0.0012065,           0.0012065,           0.0012065
                 153,            0.024022,            0.014243,           0.0013096,             0.92098,              0.9557,             0.95584,             0.60953,            0.034667,           0.0096633,            0.001661,           0.0011482,           0.0011482,           0.0011482
                 154,            0.021984,            0.013814,          0.00084252,             0.94212,             0.95778,             0.95567,             0.62674,            0.034277,           0.0097645,           0.0017038,             0.00109,             0.00109,             0.00109
                 155,            0.021757,            0.013731,           0.0013135,             0.93874,             0.93148,             0.94888,              0.6091,            0.034516,           0.0098134,           0.0017265,           0.0010318,           0.0010318,           0.0010318
                 156,            0.021155,            0.013876,           0.0008933,             0.94125,             0.95799,             0.95283,             0.63655,            0.034062,           0.0097966,            0.001636,          0.00097353,          0.00097353,          0.00097353
                 157,            0.020114,             0.01567,          0.00071989,              0.9411,             0.95808,             0.95197,             0.62991,            0.034183,           0.0098062,           0.0016174,          0.00091529,          0.00091529,          0.00091529
                 158,            0.018537,            0.013783,           0.0010255,             0.93874,             0.93632,             0.94336,             0.61354,            0.034121,           0.0097874,           0.0015517,          0.00085706,          0.00085706,          0.00085706
                 159,            0.023904,            0.016191,          0.00092714,             0.94795,             0.94278,             0.95238,             0.62955,            0.034118,           0.0097607,           0.0015347,          0.00079882,          0.00079882,          0.00079882
                 160,             0.01798,            0.013056,          0.00098223,             0.95567,             0.93407,             0.95004,              0.6186,            0.034358,           0.0097339,           0.0015183,          0.00074059,          0.00074059,          0.00074059
                 161,            0.026861,            0.012708,           0.0012551,             0.96012,             0.92997,             0.95146,             0.63017,             0.03419,           0.0096948,           0.0014371,          0.00068235,          0.00068235,          0.00068235
                 162,            0.020979,            0.016039,          0.00096231,             0.95899,             0.92994,              0.9566,             0.62489,            0.034046,           0.0096982,           0.0014187,          0.00062412,          0.00062412,          0.00062412
                 163,            0.023503,            0.014728,           0.0016449,             0.95683,             0.92801,               0.957,              0.6344,            0.033971,           0.0096772,           0.0013805,          0.00056588,          0.00056588,          0.00056588
                 164,            0.018489,            0.013862,          0.00090252,             0.95716,             0.92868,             0.95729,             0.63073,            0.034109,           0.0096749,           0.0013644,          0.00050765,          0.00050765,          0.00050765
                 165,            0.018525,            0.012558,           0.0009095,             0.96178,             0.92747,              0.9547,             0.63524,            0.034072,           0.0096697,           0.0013644,          0.00044941,          0.00044941,          0.00044941
                 166,            0.020386,            0.018174,           0.0011718,             0.95487,             0.92802,              0.9573,             0.62913,            0.033907,           0.0096739,           0.0013612,          0.00039118,          0.00039118,          0.00039118
                 167,             0.01797,            0.016268,           0.0010521,             0.95501,             0.92832,             0.95762,             0.61559,            0.033965,           0.0096696,           0.0013439,          0.00033294,          0.00033294,          0.00033294
                 168,            0.018172,            0.013816,          0.00090345,             0.96139,             0.92704,             0.95808,               0.623,            0.034038,           0.0096414,           0.0013377,          0.00027471,          0.00027471,          0.00027471
                 169,            0.017602,            0.014549,           0.0012185,             0.95915,             0.92831,             0.95835,             0.62262,            0.033978,           0.0096519,           0.0013102,          0.00021647,          0.00021647,          0.00021647
